,index,goal_comparator_node,social_comparator_node,http://example.com/slowmo#ComparisonValue{Literal}(xsd:double),GoalComparator,SocialComparator
0,ABX01,m1061,m1062,,0.9,0.93
1,AKI01,m1022,m1023,,0.1,0.93
2,BP01,m1014,m1015,,0.9,0.93
3,BP02,m1016,m1017,,0.9,0.93
4,BP03,m1051,m1052,,0.9,0.93
5,BP04,m1067,m1068,,0.9,0.93
6,CARD02,m1038,m1039,,0.05,0.93
7,CARD03,m1045,m1046,,0.05,0.93
8,FLUID01C,m1021,null,,0.93,0
9,FLUID01NC,m1020,null,,0.93,0
10,GA01,m1069,null,,0.93,0
11,GLU01,m1006,m1007,,0.9,0.93
12,GLU02,m1008,m1009,,0.9,0.93
13,GLU03,m1055,m1056,,0.9,0.93
14,GLU04,m1057,m1058,,0.9,0.93
15,GLU05,m1064,m1065,,0.9,0.93
16,MED01,m1018,m1019,,0.05,0.93
17,MORT01,m1063,null,,0.93,0
18,NMB01,m1000,m1001,,0.9,0.93
19,NMB02,m1002,m1003,,0.9,0.93
20,PAIN01,m1066,null,,0.93,0
21,PAIN02,m1070,null,,0.93,0
22,PONV01,m1032,m1033,,0.9,0.93
23,PONV02,m1040,m1041,,0.9,0.93
24,PONV03,m1049,m1050,,0.1,0.93
25,PONV03b,m1053,m1054,,0.1,0.93
26,PONV04,m1071,m1072,,0.9,0.93
27,PONV05,m1078,m1079,,0.9,0.93
28,PUL01,m1004,m1005,,0.9,0.93
29,PUL02,m1034,m1035,,0.9,0.93
30,PUL03,m1044,null,,0.93,0
31,SUS01,m1047,m1048,,0.9,0.93
32,TEMP01,m1024,m1025,,0.9,0.93
33,TEMP02,m1026,m1027,,0.9,0.93
34,TEMP03,m1028,m1029,,0.1,0.93
35,TEMP04,m1059,m1060,,0.9,0.93
36,TEMP05,m1073,m1074,,0.1,0.93
37,TEMP06,m1076,m1077,,0.1,0.93
38,TOC01,m1042,m1043,,0.9,0.93
39,TOC02,m1030,m1031,,0.9,0.93
40,TOC03,m1036,m1037,,0.9,0.93
41,TRAN01,m1010,m1011,,0.9,0.93
42,TRAN02,m1012,m1013,,0.1,0.93
43,http://example.com/app#display-lab,0,null,,0,0
44,m1000,0,null,0.9,0,0
45,m1001,0,null,0.93,0,0
46,m1002,0,null,0.9,0,0
47,m1003,0,null,0.93,0,0
48,m1004,0,null,0.9,0,0
49,m1005,0,null,0.93,0,0
50,m1006,0,null,0.9,0,0
51,m1007,0,null,0.93,0,0
52,m1008,0,null,0.9,0,0
53,m1009,0,null,0.93,0,0
54,m1010,0,null,0.9,0,0
55,m1011,0,null,0.93,0,0
56,m1012,0,null,0.1,0,0
57,m1013,0,null,0.93,0,0
58,m1014,0,null,0.9,0,0
59,m1015,0,null,0.93,0,0
60,m1016,0,null,0.9,0,0
61,m1017,0,null,0.93,0,0
62,m1018,0,null,0.05,0,0
63,m1019,0,null,0.93,0,0
64,m1020,0,null,0.93,0,0
65,m1021,0,null,0.93,0,0
66,m1022,0,null,0.1,0,0
67,m1023,0,null,0.93,0,0
68,m1024,0,null,0.9,0,0
69,m1025,0,null,0.93,0,0
70,m1026,0,null,0.9,0,0
71,m1027,0,null,0.93,0,0
72,m1028,0,null,0.1,0,0
73,m1029,0,null,0.93,0,0
74,m1030,0,null,0.9,0,0
75,m1031,0,null,0.93,0,0
76,m1032,0,null,0.9,0,0
77,m1033,0,null,0.93,0,0
78,m1034,0,null,0.9,0,0
79,m1035,0,null,0.93,0,0
80,m1036,0,null,0.9,0,0
81,m1037,0,null,0.93,0,0
82,m1038,0,null,0.05,0,0
83,m1039,0,null,0.93,0,0
84,m1040,0,null,0.9,0,0
85,m1041,0,null,0.93,0,0
86,m1042,0,null,0.9,0,0
87,m1043,0,null,0.93,0,0
88,m1044,0,null,0.93,0,0
89,m1045,0,null,0.05,0,0
90,m1046,0,null,0.93,0,0
91,m1047,0,null,0.9,0,0
92,m1048,0,null,0.93,0,0
93,m1049,0,null,0.1,0,0
94,m1050,0,null,0.93,0,0
95,m1051,0,null,0.9,0,0
96,m1052,0,null,0.93,0,0
97,m1053,0,null,0.1,0,0
98,m1054,0,null,0.93,0,0
99,m1055,0,null,0.9,0,0
100,m1056,0,null,0.93,0,0
101,m1057,0,null,0.9,0,0
102,m1058,0,null,0.93,0,0
103,m1059,0,null,0.9,0,0
104,m1060,0,null,0.93,0,0
105,m1061,0,null,0.9,0,0
106,m1062,0,null,0.93,0,0
107,m1063,0,null,0.93,0,0
108,m1064,0,null,0.9,0,0
109,m1065,0,null,0.93,0,0
110,m1066,0,null,0.93,0,0
111,m1067,0,null,0.9,0,0
112,m1068,0,null,0.93,0,0
113,m1069,0,null,0.93,0,0
114,m1070,0,null,0.93,0,0
115,m1071,0,null,0.9,0,0
116,m1072,0,null,0.93,0,0
117,m1073,0,null,0.1,0,0
118,m1074,0,null,0.93,0,0
119,m1076,0,null,0.1,0,0
120,m1077,0,null,0.93,0,0
121,m1078,0,null,0.9,0,0
122,m1079,0,null,0.93,0,0
